driver,asset,datetime,activity,duration,location
John Smith,TRK-1001,2025-05-19 07:15:22,Site Survey,45,North Dallas Site
John Smith,TRK-1001,2025-05-19 08:35:10,Equipment Operation,120,North Dallas Site
John Smith,TRK-1001,2025-05-19 11:15:45,Material Transport,60,North Dallas Site
John Smith,TRK-1001,2025-05-19 13:40:12,Site Cleanup,90,North Dallas Site
Michael Johnson,TRK-1002,2025-05-19 06:30:44,Site Preparation,120,West Plano Project
Michael Johnson,TRK-1002,2025-05-19 09:15:28,Equipment Operation,180,West Plano Project
Michael Johnson,TRK-1002,2025-05-19 13:25:17,Material Transport,90,West Plano Project
Robert Williams,TRK-1003,2025-05-19 08:05:33,Site Inspection,45,Downtown Construction
Robert Williams,TRK-1003,2025-05-19 09:15:28,Equipment Operation,150,Downtown Construction
Robert Williams,TRK-1003,2025-05-19 12:30:52,Material Delivery,75,Downtown Construction
Robert Williams,TRK-1003,2025-05-19 14:15:19,Site Cleanup,60,Downtown Construction
William Brown,TRK-1004,2025-05-19 07:05:27,Site Preparation,90,Richardson Development
William Brown,TRK-1004,2025-05-19 08:50:18,Equipment Operation,165,Richardson Development
William Brown,TRK-1004,2025-05-19 12:45:33,Material Transport,75,Richardson Development
James Davis,TRK-1005,2025-05-19 07:30:41,Site Survey,60,North Richland Hills
James Davis,TRK-1005,2025-05-19 09:15:28,Equipment Operation,120,North Richland Hills
James Davis,TRK-1005,2025-05-19 12:00:52,Material Transport,90,North Richland Hills
James Davis,TRK-1005,2025-05-19 14:00:19,Site Cleanup,60,North Richland Hills
David Miller,TRK-1006,2025-05-19 07:15:22,Site Preparation,60,West Plano Project
David Miller,TRK-1006,2025-05-19 08:45:10,Equipment Operation,180,West Plano Project
David Miller,TRK-1006,2025-05-19 12:15:45,Material Transport,75,West Plano Project
David Miller,TRK-1006,2025-05-19 14:20:12,Site Cleanup,60,West Plano Project
Richard Wilson,TRK-1007,2025-05-19 06:45:44,Site Preparation,90,Downtown Construction
Richard Wilson,TRK-1007,2025-05-19 08:30:28,Equipment Operation,150,Downtown Construction
Richard Wilson,TRK-1007,2025-05-19 12:15:17,Material Transport,90,Downtown Construction
Richard Wilson,TRK-1007,2025-05-19 14:00:52,Site Cleanup,60,Downtown Construction
Joseph Moore,TRK-1008,2025-05-19 07:15:33,Site Inspection,45,Richardson Development
Joseph Moore,TRK-1008,2025-05-19 08:30:28,Equipment Operation,180,Richardson Development
Joseph Moore,TRK-1008,2025-05-19 12:15:52,Material Delivery,90,Richardson Development
Thomas Taylor,TRK-1009,2025-05-19 07:15:27,Site Preparation,90,North Dallas Site
Thomas Taylor,TRK-1009,2025-05-19 09:00:18,Equipment Operation,150,North Dallas Site
Thomas Taylor,TRK-1009,2025-05-19 12:25:33,Material Transport,75,North Dallas Site
Thomas Taylor,TRK-1009,2025-05-19 14:10:41,Site Cleanup,90,North Dallas Site
Charles Anderson,TRK-1010,2025-05-19 06:30:41,Site Survey,60,West Plano Project
Charles Anderson,TRK-1010,2025-05-19 08:00:28,Equipment Operation,180,West Plano Project
Charles Anderson,TRK-1010,2025-05-19 11:45:52,Material Transport,90,West Plano Project
Christopher Thomas,TRK-1011,2025-05-19 07:00:22,Site Preparation,45,Downtown Construction
Christopher Thomas,TRK-1011,2025-05-19 08:15:10,Equipment Operation,195,Downtown Construction
Christopher Thomas,TRK-1011,2025-05-19 12:00:45,Material Transport,90,Downtown Construction
Christopher Thomas,TRK-1011,2025-05-19 14:00:12,Site Cleanup,75,Downtown Construction
Daniel Jackson,TRK-1012,2025-05-19 06:45:44,Site Preparation,75,Richardson Development
Daniel Jackson,TRK-1012,2025-05-19 08:15:28,Equipment Operation,180,Richardson Development
Daniel Jackson,TRK-1012,2025-05-19 12:00:17,Material Transport,90,Richardson Development
Daniel Jackson,TRK-1012,2025-05-19 13:45:52,Site Cleanup,75,Richardson Development
Matthew Harris,TRK-1013,2025-05-19 07:15:33,Site Inspection,60,North Dallas Site
Matthew Harris,TRK-1013,2025-05-19 08:45:28,Equipment Operation,180,North Dallas Site
Matthew Harris,TRK-1013,2025-05-19 12:30:52,Material Delivery,75,North Dallas Site
Matthew Harris,TRK-1013,2025-05-19 14:15:19,Site Cleanup,75,North Dallas Site
Anthony Martin,TRK-1014,2025-05-19 07:45:27,Site Preparation,60,West Plano Project
Anthony Martin,TRK-1014,2025-05-19 09:15:18,Equipment Operation,165,West Plano Project
Anthony Martin,TRK-1014,2025-05-19 12:45:33,Material Transport,90,West Plano Project
Anthony Martin,TRK-1014,2025-05-19 14:30:41,Site Cleanup,75,West Plano Project
