Gauge Fleet Solutions
Daily Usage Report

Generated on: 05/19/2025 05:02 PM
Report date: 2025-05-16

Daily Usage Data:
Date,Asset,Time Start,Time Stop,Company,Job Site
2025-05-16,PT-05 Miguel Nguyen,07:07,15:35,Texas Earth Movers,Frisco Town Center
2025-05-16,LT-32 Elizabeth Lopez EMP1431,06:41 AM,14:50,Texas Earth Movers,Denton Highway
2025-05-16,F-150 Patricia Smith - EMP2998,07:00,15:22,Ragle Inc.,Coppell Industrial
2025-05-16,CT-93 Mary Thomas,07:06,03:36 PM,Highland Construction,Irving South
2025-05-16,HT-72 Patricia Garcia (EMP8953),07:17 AM,03:23 PM,Texas Earth Movers,Denton Highway
2025-05-16,LT-79 Francisco Hill,06:52 AM,15:23,Select Contracting,Dallas North
2025-05-16,RT-99 David Gonzalez,07:10 AM,15:29,Highland Construction,Denton Highway
2025-05-16,RT-15 Carlos P. Walker (EMP1936),06:59,03:25 PM,Select Contracting,Plano East
2025-05-16,PT-01 Michael S. Williams,06:51 AM,03:38 PM,Ragle Inc.,Carrollton Bridge
2025-05-16,CHEVY SILVERADO Linda Brown,06:13,03:34 PM,Ragle Inc.,Allen Sports Complex
2025-05-16,CHEVY SILVERADO Francisco Anderson,07:22,03:36 PM,Ragle Inc.,Carrollton Bridge
2025-05-16,HT-71 Juana Y. Wright / Linda Allen,06:52,15:36,Texas Earth Movers,Plano East
2025-05-16,ET-23 Carmen N. Thomas,,03:35 PM,Texas Earth Movers,Southlake Plaza
2025-05-16,PT-71 Sofía Gonzalez,06:55 AM,03:34 PM,Ragle Inc.,McKinney Residential
2025-05-16,CT-86 María Garcia EMP3554,07:08 AM,15:21,Texas Earth Movers,Allen Sports Complex
2025-05-16,HT-05 James K. Martinez,06:59 AM,15:22,Texas Earth Movers,Richardson Office Park
2025-05-16,PT-73 Jennifer Jackson,07:09 AM,,Texas Earth Movers,Carrollton Bridge
2025-05-16,PT-19 Robert B. Hall,,03:26 PM,Select Contracting,Lewisville Dam
2025-05-16,CT-98 Jorge V. Thomas,07:03,15:36,Highland Construction,Plano East
2025-05-16,PT-42 John R. Perez,06:46 AM,03:29 PM,Select Contracting,Richardson Office Park
2025-05-16,FORD F250 Karen Adams,06:53 AM,,Highland Construction,Coppell Industrial
2025-05-16,HT-70 Antonio Nelson,06:54 AM,15:29,Highland Construction,Allen Sports Complex
2025-05-16,CT-63 David Lewis,06:15,15:29,Texas Earth Movers,Carrollton Bridge
2025-05-16,HT-53 James Wilson,07:09 AM,03:35 PM,Texas Earth Movers,Frisco Town Center
2025-05-16,CT-03 Elizabeth Young,07:10 AM,15:37,Select Contracting,Southlake Plaza
2025-05-16,RT-23 Isabel Wilson (EMP5928),07:18,15:29,Ragle Inc.,Allen Sports Complex
2025-05-16,LT-69 Robert Torres,06:55,15:06,Highland Construction,Carrollton Bridge
2025-05-16,RAM-2500 Jessica Taylor,07:10 AM,11:42,Ragle Inc.,Frisco Town Center
2025-05-16,HT-52 Barbara Garcia EMP3008,07:05,15:20,Highland Construction,Coppell Industrial
